datetime,open,high,low,close,volume
2022-06-13 00:47:00,1441.72,1455.0,1410.0,1422.88,101600.3369
2022-06-13 00:58:00,1422.71,1422.74,1385.74,1393.41,52181.06546
2022-06-13 01:13:00,1393.42,1400.38,1369.0,1369.19,56192.34969
2022-06-13 02:16:00,1369.2,1378.47,1342.64,1343.39,187089.26908
2022-06-13 03:01:00,1343.38,1366.97,1333.0,1335.62,98324.69367
2022-06-13 03:08:00,1335.62,1337.48,1305.17,1305.42,39368.94101
2022-06-13 03:10:00,1305.42,1339.99,1304.39,1337.03,11040.956699999999
2022-06-13 03:39:00,1337.03,1355.1,1314.1,1354.6,83433.9212
2022-06-13 04:10:00,1354.6,1377.24,1343.26,1374.53,103644.4775
2022-06-13 04:51:00,1374.52,1387.32,1354.59,1355.79,90771.3002
2022-06-13 05:45:00,1355.78,1368.7,1338.0,1339.41,83093.6783
2022-06-13 06:06:00,1339.4,1341.26,1310.01,1312.01,54850.0985
2022-06-13 06:16:00,1312.01,1348.67,1308.25,1344.56,43944.63
2022-06-13 06:43:00,1344.8,1348.89,1312.39,1314.63,54914.4531
2022-06-13 07:01:00,1314.62,1333.82,1300.0,1332.63,59690.08361
2022-06-13 07:37:00,1332.64,1339.66,1301.0,1305.17,61586.187099999996
2022-06-13 07:41:00,1305.16,1307.73,1271.0,1276.08,42467.91404
2022-06-13 07:55:00,1276.08,1301.78,1262.76,1265.84,78725.20516
2022-06-13 08:23:00,1265.84,1288.95,1257.6,1258.06,145227.75819
2022-06-13 08:31:00,1258.07,1279.17,1247.56,1277.28,42877.858009999996
2022-06-13 08:43:00,1277.29,1278.76,1239.35,1247.07,48060.9296
2022-06-13 08:48:00,1247.52,1257.31,1222.0,1222.96,35056.11694
2022-06-13 08:58:00,1223.13,1236.85,1205.0,1207.46,60177.05691
2022-06-13 09:07:00,1206.63,1229.02,1185.4,1191.53,61315.64633
2022-06-13 09:09:00,1191.59,1212.42,1180.0,1211.01,21948.82713
2022-06-13 09:14:00,1211.01,1246.93,1204.46,1245.9,43283.385800000004
2022-06-13 09:30:00,1245.9,1267.85,1228.64,1232.07,72002.8791
2022-06-13 09:56:00,1232.07,1239.93,1208.39,1235.65,105550.909
2022-06-13 10:14:00,1235.65,1259.4,1226.27,1230.31,67086.8729
2022-06-13 10:30:00,1230.31,1246.09,1215.53,1244.65,53511.6918
2022-06-13 10:50:00,1244.65,1250.64,1220.01,1222.35,54750.462
2022-06-13 11:18:00,1222.35,1232.1,1200.0,1201.68,83204.9346
2022-06-13 11:43:00,1201.68,1210.23,1180.0,1206.25,89141.89600000001
2022-06-13 12:00:00,1206.26,1228.95,1186.0,1226.21,52165.9065
2022-06-13 12:12:00,1226.21,1253.57,1211.15,1248.7,48552.5618
2022-06-13 12:55:00,1248.7,1258.69,1227.45,1227.99,116734.164
2022-06-13 13:19:00,1227.99,1231.81,1203.12,1204.81,64583.7259
2022-06-13 13:30:00,1204.75,1231.0,1201.92,1230.42,26575.8067
2022-06-13 13:40:00,1230.42,1250.0,1211.0,1214.86,46278.2646
2022-06-13 13:58:00,1214.69,1241.59,1207.26,1240.43,46040.1493
2022-06-13 14:15:00,1240.42,1244.82,1213.05,1214.65,48553.1773
2022-06-13 14:43:00,1214.66,1229.43,1192.62,1195.18,63269.7843
2022-06-13 14:50:00,1195.19,1203.15,1173.0,1175.1,40882.29415
2022-06-13 15:01:00,1175.09,1205.0,1165.45,1205.0,56926.43688
2022-06-13 15:15:00,1204.27,1227.98,1185.0,1221.13,45035.9412
